Facility,Contact,initial_registration_date,most_recent_registration_date,last_fda_inspection_date,form_483_issued,fda_recall_conducted,post_inspection_action,intends_to_compound_sterile,pharmacy_legal_entity,pharmacy_entity_type,pharmacy_name,is_renamed,former_facility_name,license_city,license_state,license_contact_name,license_contact_phone,no_fda_inspections,post_inspection_action_date
"VITALRX PHARMACY, LLC, HOUSTON, TX",LINDA SARPONG 1-832-259-1362,2024-08-27 00:00:00,3/10/2025,,FALSE,FALSE,N/A,TRUE,VITALRX PHARMACY LLC,LLC,VITALRX PHARMACY,FALSE,,HOUSTON,TX,LINDA SARPONG ,1-832-259-1362,TRUE,
"VIVASOR, SAN DIEGO, CA",MARK BRUNSWICK1-858-652-0084,2024-10-31 00:00:00,10/31/2024,,FALSE,FALSE,,TRUE,VIVASOR ,,VIVASOR,FALSE,,SAN DIEGO,CA,MARK BRUNSWICK,1-858-652-0084,TRUE,
"WEDGEWOOD CONNECT OHIO, LLC, ALBANY, OH",ANDREA MURRAY1-877-357-6613,2023-10-19 00:00:00,11/7/2024,,FALSE,FALSE,,TRUE,WEDGEWOOD CONNECT OHIO LLC,LLC,WEDGEWOOD CONNECT OHIO,FALSE,,ALBANY,OH,ANDREA MURRAY,1-877-357-6613,TRUE,
"WEDGEWOOD CONNECT, LLC, FORMERLY REGISTERED AS LEITER'S COMPOUNDING, SAN JOSE, CA",PAUL YAMAMOTO408-687-0943,2014-01-31 00:00:00,10/16/2024,2023-11-17 00:00:00,TRUE,FALSE,UNTITLED LETTER ISSUED,TRUE,WEDGEWOOD CONNECT LLC,LLC,WEDGEWOOD CONNECT,TRUE,LEITER'S COMPOUNDING,SAN JOSE,CA,PAUL YAMAMOTO,408-687-0943,FALSE,2024-04-25 00:00:00
"WELLS PHARMA OF HOUSTON, LLC, HOUSTON, TX",LISA HAWKINS1-423-621-2588,2020-03-09 00:00:00,11/5/2024,2022-12-14 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,TRUE,WELLS PHARMA OF HOUSTON LLC,LLC,WELLS PHARMA OF HOUSTON,FALSE,,HOUSTON,TX,LISA HAWKINS,1-423-621-2588,FALSE,2023-04-18 00:00:00
"WELLS PHARMACY, INC., DYERSBURG, TN",MELISSA STEFKO800-622-4510,2016-06-07 00:00:00,10/24/2024,2021-01-28 00:00:00,TRUE,FALSE,UNTITLED LETTER ISSUED,TRUE,WELLS PHARMACY INC,INC,WELLS PHARMACY,FALSE,,DYERSBURG,TN,MELISSA STEFKO,800-622-4510,FALSE,2022-05-19 00:00:00
"WILCREST PHARMACEUTICALS, INC., HOUSTON, TX",TOWOBOLA LOUIS 1-713-277-4114,2025-03-13 00:00:00,3/13/2025,,FALSE,FALSE,,TRUE,WILCREST PHARMACEUTICALS INC,INC,WILCREST PHARMACEUTICALS,FALSE,,HOUSTON,TX,TOWOBOLA LOUIS ,1-713-277-4114,TRUE,
"WILLOWBEND PHARMA SELECT, LLC, HOUSTON, TX",BASIL RAAD832-628-3260,2024-04-11 00:00:00,11/5/2024,,FALSE,FALSE,,TRUE,WILLOWBEND PHARMA SELECT LLC,LLC,WILLOWBEND PHARMA SELECT,FALSE,,HOUSTON,TX,BASIL RAAD,832-628-3260,TRUE,
"WORLD REACH PHARMA, LLC, ALBANY, NY",JIM PESOLI1-847-721-8122,2024-01-26 00:00:00,3/4/2025,,FALSE,FALSE,,TRUE,WORLD REACH PHARMA LLC,LLC,WORLD REACH PHARMA,FALSE,,ALBANY,NY,JIM PESOLI,1-847-721-8122,TRUE,
"XENITH PHARMACEUTICAL, LAS VEGAS, NV",SAMANTHA KOEGEL516-761-1433,2025-01-02 00:00:00,1/2/2025,,FALSE,FALSE,,TRUE,XENITH PHARMACEUTICAL ,,XENITH PHARMACEUTICAL,FALSE,,LAS VEGAS,NV,SAMANTHA KOEGEL,516-761-1433,TRUE,
"XSEER PHARMACEUTICALS, INC., LOS ANGELES, CA",ALI KHOSROVNI310-606-0146,2023-10-21 00:00:00,11/27/2024,,FALSE,FALSE,,TRUE,XSEER PHARMACEUTICALS INC,INC,XSEER PHARMACEUTICALS,FALSE,,LOS ANGELES,CA,ALI KHOSROVNI,310-606-0146,TRUE,
